𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠀񀀡񀀩񆇡񆇡񌞁𝠃𝤳𝤚񌞁𝣴𝣵񀀡𝤤𝣼񀀩𝣙𝣼񆇡𝤙𝣿񆇡𝣩𝤀	¿surprise
𝠀񀀡񀀩񈗡񈗱񂈁񂈉񆿅񆿕񋸢𝠃𝤠𝥀񀀡𝤋𝣘񀀩𝣳𝣪񋸢𝣻𝣌񈗡𝤒𝣒񈗱𝣭𝣦񂈁𝤎𝤔񂈉𝣵𝤕񆿅𝤎𝤰񆿕𝣵𝤱	¿reporter
𝠀񀀙񇵙񀀉񎣡𝠃𝤛𝤺񎣡𝣱𝤄񀀉𝣘𝣓񀀙𝣝𝤜񇵙𝣘𝣻	¿only one
𝠀񀀡𝠃𝤎𝤕񀀡𝣿𝣷	¿one
𝠀񀀡񀀉񆙡񀀩񀀁𝠃𝤔𝤲񆙡𝣹𝤄񀀉𝣿𝣛񀀁𝤃𝤏񀀩𝣼𝤔񀀡𝤅𝣡	¿translate
𝠀񀀡񀀩񆇡񈙇񈙓𝠃𝤶𝤛񀀡𝤇𝣱񀀩𝣷𝣱񆇡𝤁𝤐񈙇𝤘𝣿񈙓𝣗𝣿	¿departure
𝠀񀀡񀀩񈗡񈗱񋲡񈗡񈗱񋲡񈗡񈗱񋲡񈛇𝠃𝥀𝤫񀀡𝣠𝤅񀀩𝣌𝤍񋲡𝤧𝣡񈗡𝣝𝣯񈗱𝣎𝣶񈗡𝤂𝣮񈗱𝣶𝣷񈗡𝤧𝣮񈗱𝤜𝣷񋲡𝣟𝣣񋲡𝤃𝣢񎷇𝣴𝤕񈛇𝤖𝤌	¿attend many places
𝠀񀀡񀀩񈗡񈗱񋲡񈗡񈗱񋲡񈗡񈗱񋲡񈛇𝠃𝥀𝤫񀀡𝣠𝤅񀀩𝣌𝤍񋲡𝤧𝣡񈗡𝣝𝣯񈗱𝣎𝣶񈗡𝤂𝣮񈗱𝣶𝣷񈗡𝤧𝣮񈗱𝤜𝣷񋲡𝣟𝣣񋲡𝤃𝣢񎷇𝣴𝤕񈛇𝤖𝤌	¿go to many places
𝠀񀀙񈁑񋾡𝠃𝤘𝤵񀀙𝣝𝣲񋾡𝣴𝣵񈁑𝣟𝤗	¿he
𝠀񀀙񈁑񋾡𝠃𝤘𝤵񀀙𝣝𝣲񋾡𝣴𝣵񈁑𝣟𝤗	¿she
𝠀񀀡񀀁񆫡𝠃𝤛𝤚񀀁𝤄𝣼񆫡𝤉𝣲񀀡𝣱𝣼	¿111
𝠀񀀡񀀁񆫡𝠃𝤛𝤚񀀁𝤄𝣼񆫡𝤉𝣲񀀡𝣱𝣼	¿one hundred eleven
𝠀񀀡񀀁񆫡𝠃𝤛𝤚񀀁𝤄𝣼񆫡𝤉𝣲񀀡𝣱𝣼	¿one-hundred-eleven
𝠀񀀡񀀉񆙡񋏁𝠃𝤖𝤣񆙡𝤉𝤀񀀉𝣷𝣿񀀡𝣽𝤅񋏁𝣺𝣪	¿translate
𝠀񀀡񀀩񆕁񇑁񇑑񂇢񈚧񌱡𝠃𝤲𝤘񀀩𝣱𝢧񀀡𝤋𝢧񇑁𝤋𝢎񇑑𝣕𝢎񆕁𝤀𝣇񌱡𝣴𝣵񂇢𝣪𝣝񈚧𝤄𝣣	¿galaxy
𝠀񀀡񀀩񆕁񇑁񇑑񂇢񈚧񌱡𝠃𝤲𝤘񀀩𝣱𝢧񀀡𝤋𝢧񇑁𝤋𝢎񇑑𝣕𝢎񆕁𝤀𝣇񌱡𝣴𝣵񂇢𝣪𝣝񈚧𝤄𝣣	¿world
𝠀񀀡񀀩񈗡񈗱񋸡𝠃𝤞𝤢񀀡𝤍𝣸񀀩𝣲𝤄񋸡𝣺𝣬񈗡𝤐𝣪񈗱𝣯𝣹	¿attend
𝠀񀀡񀀩񈗡񈗱񋸦񍶡𝠃𝤛𝥒񍶡𝣴𝣵񀀩𝣳𝤝񈗡𝤍𝤵񈗱𝣴𝥂񋸦𝤃𝥆񀀡𝤌𝤏	¿report
𝠀񀀡񀀩񈙡񋲡𝠃𝤗𝤶񀀩𝣶𝤃񀀡𝤈𝤘񈙡𝤀𝣢񋲡𝤂𝣗	¿follow
𝠀񀀡񀀩񈟁񈟑񋸡𝠃𝤩𝤢񀀡𝤍𝣷񀀩𝣭𝤄񈟁𝤎𝣪񈟑𝣣𝣸񋸡𝣸𝣬	¿attend
𝠀񀀡񀀩񋾡񆷵񆷵𝠃𝤨𝤰񋾡𝣴𝣵񀀡𝤅𝤒񀀩𝣡𝤍񆷵𝤒𝤕񆷵𝣖𝤄	¿answer
𝠀񀀡񂇁񈗧񆕁𝠃𝤙𝤜񂇁𝣽𝣰񀀡𝤀𝣾񆕁𝣳𝤋񈗧𝤊𝤀	¿examination
𝠀񀀡񀀩񈗡񈗱񋸦񎍅𝠃𝤫𝥬񎍅𝣳𝣵񀀡𝤜𝤓񀀩𝣯𝤴񈗡𝤛𝤶񈗱𝣱𝥝񋸦𝤊𝥌	¿report
𝠀񀀡񀀩񈙢𝠃𝤠𝤡񀀡𝤑𝤃񀀩𝣾𝤃񈙢𝣬𝣫	¿go together left
𝠀񀀡񀀩񈢫𝠃𝤖𝤧񀀡𝤇𝣥񀀩𝣶𝣥񈢫𝣿𝤌	¿with someone
𝠀񀀡񂇙񆉁𝠃𝤜𝤛񂇙𝣾𝣲񀀡𝤍𝣼񆉁𝣱𝤐	¿alarm
𝠀񀀡񂇙񆉁𝠃𝤜𝤛񂇙𝣾𝣲񀀡𝤍𝣼񆉁𝣱𝤐	¿Bell
𝠀񀀡񂇙񆉁𝠃𝤜𝤛񂇙𝣾𝣲񀀡𝤍𝣼񆉁𝣱𝤐	¿alarm clock
𝠀񀀡񀀩񈗡񈗱񋾡񆨡񋸦񋵡𝠃𝤜𝥤񋾡𝣴𝣵񀀡𝤍𝤏񀀩𝣲𝤥񈗡𝤎𝤴񈗱𝣳𝥋񆨡𝤋𝤅񋸦𝤇𝥎񋵡𝤈𝥟	¿reporter
𝠀񀀡񀀩񈚡𝠃𝤘𝤪񀀡𝤇𝤌񀀩𝣴𝤌񈚡𝤈𝣢	¿separate
𝠀񀀡񀀩񈽉񈽑𝠃𝤯𝤧񀀡𝤖𝣴񀀩𝣧𝤉񈽑𝣝𝣳񈽉𝤘𝣥	¿walk
𝠀񀀡񀁑񂇺񆇡񆇡񇀥񈗨񍘡𝠃𝤲𝥺񍘡𝣴𝣵񀀡𝤅𝤌񀁑𝤇𝥕񂇺𝤛𝥣񇀥𝤅𝤰񆇡𝤘𝥞񆇡𝤡𝥘񈗨𝤓𝥏	¿fall in love
𝠀񀀡񂇙񆕁񇀡𝠃𝤘𝤢񇀡𝤈𝣪񀀡𝤆𝤄񂇙𝣵𝣿񆕁𝣽𝣴	¿tall
𝠀񀀡񀀩񈗢񈗲񋲡񈗡񈗱񋲡񈗨񈗸񋲡񋁩𝠃𝤼𝤲񀀡𝤈𝤎񀀩𝣴𝤔񋁩𝣺𝣽񈗡𝤇𝣤񈗱𝣸𝣤񈗨𝤪𝣾񈗸𝤟𝣲񈗢𝣡𝣳񈗲𝣗𝣾񋲡𝤂𝣚񋲡𝤰𝣱񋲡𝣐𝣲	¿attend many places
𝠀񀀡񀀩񈗢񈗲񋲡񈗡񈗱񋲡񈗨񈗸񋲡񋁩𝠃𝤼𝤲񀀡𝤈𝤎񀀩𝣴𝤔񋁩𝣺𝣽񈗡𝤇𝣤񈗱𝣸𝣤񈗨𝤪𝣾񈗸𝤟𝣲񈗢𝣡𝣳񈗲𝣗𝣾񋲡𝤂𝣚񋲡𝤰𝣱񋲡𝣐𝣲	¿go to many places
𝠀񀀡񀀩񈝡񈝱𝠃𝤞𝤦񀀡𝤌𝣿񀀩𝣱𝤈񈝡𝤎𝣧񈝱𝣯𝣯	¿go
𝠀񀀡񀀩񉌧񉌯񉌧𝠃𝤖𝤱񀀡𝤇𝤓񀀩𝣶𝤓񉌧𝣻𝣿񉌯𝣹𝣭񉌧𝣹𝣜	¿two people together
𝠀񀀡񁲛񆘁񈗧𝠃𝤬𝤘񁲛𝣠𝣴񀀡𝣻𝣺񈗧𝤝𝣵񆘁𝤆𝣵	¿escape
𝠀񀀡񂇙񆕁񇂁񁫁𝠃𝤖𝤳񂇙𝣶𝤓񀀡𝤄𝤕񆕁𝣽𝤇񁫁𝤆𝣙񇂁𝤆𝣵	¿sky rocket
𝠀񀀡񀀩񈗨񂇱񉳉𝠃𝤩𝤧񀀡𝣸𝣰񀀩𝣤𝣰񂇱𝤝𝣥񉳉𝤉𝤋񈗨𝤊𝣳	¿spouse dead
𝠀񀀡񀀩񈝡񈝱񋸡񁲁񁲉񋎩񋎱񋸥񋲡𝠃𝤣𝥍񀀡𝤌𝣋񀀩𝣱𝣔񈝡𝤓𝣂񈝱𝣩𝣉񁲁𝤌𝤄񁲉𝣬𝤄񋎩𝤎𝤧񋎱𝣫𝤧񋸥𝣿𝤽񋲡𝤁𝥆񋸡𝣽𝣀	¿go
𝠀񀀡񀀩񈝡񈝱񋸡񁲁񁲉񋎩񋎱񋸥񋲡𝠃𝤣𝥍񀀡𝤌𝣋񀀩𝣱𝣔񈝡𝤓𝣂񈝱𝣩𝣉񁲁𝤌𝤄񁲉𝣬𝤄񋎩𝤎𝤧񋎱𝣫𝤧񋸥𝣿𝤽񋲡𝤁𝥆񋸡𝣽𝣀	¿went
𝠀񀀡񀀩񊒡񊒱𝠃𝤡𝤧񀀡𝤒𝤈񀀩𝣬𝤉񊒡𝤈𝣦񊒱𝣫𝣨	¿go down
𝠀񀀡񁳇񆊡񇀡𝠃𝤛𝤵񁳇𝣲𝣫񀀡𝤌𝣲񆊡𝤇𝣘񇀡𝤊𝤗	¿popup
𝠀񀀡񂇙񈟃񆒁񌒁񎎡𝠃𝤞𝥖񂇙𝣬𝤟񀀡𝣼𝤧񆒁𝣵𝥉񈟃𝤐𝤮񌒁𝣴𝣵񎎡𝣴𝣵	¿walk into wall twice
𝠀񀀡񀀩񈗨񈗸𝠃𝤟𝤡񀀡𝤉𝣺񀀩𝣮𝤃񈗨𝤒𝣬񈗸𝣴𝣱	¿go right
𝠀񀀡񀀩񈝢񈝲𝠃𝤟𝤦񀀡𝤐𝣿񀀩𝣵𝤈񈝢𝤁𝣧񈝲𝣭𝣷	¿go left
𝠀񀀡񀀩񊒢񊒲񋸥𝠃𝤜𝤱񀀡𝤊𝤁񀀩𝣰𝤁񊒢𝤉𝣞񊒲𝣴𝣜񋸥𝣾𝤫	¿go
𝠀񀀡񁳛񂣒񂢴񎸡񈗧񆿄񆕁񆊡񆌁𝠃𝤧𝤾񁳛𝣦𝣡񀀡𝣿𝣭񎸡𝣿𝣪񆊡𝣴𝣎񆕁𝤊𝣧񈗧𝤘𝣧񂢴𝣦𝤣񂣒𝤁𝤜񆿄𝣷𝤒񆌁𝣾𝤴	¿elope
𝠀񀀡񂇙񋁇񋲡񌒁񎎡𝠃𝤤𝥅񂇙𝣬𝤟񀀡𝣼𝤧񎎡𝣴𝣵񌒁𝣴𝣵񋁇𝤎𝤥񋲡𝤎𝤛	¿walk like a drunk forward
𝠀񀀡񀀩񈙁񈙑𝠃𝤛𝤡񀀡𝤋𝤂񀀩𝣳𝤃񈙁𝤋𝣫񈙑𝣱𝣫	¿go
𝠀񀀡񀀩񈝨񈝸𝠃𝤟𝤥񀀡𝤈𝣾񀀩𝣭𝤇񈝨𝤌𝣧񈝸𝣱𝣨	¿go right
𝠀񀀡񀀩񋁉񆨡񆨡𝠃𝤦𝤜񀀡𝤉𝣾񀀩𝣧𝣾񆨡𝤐𝣸񆨡𝣦𝣷񋁉𝤉𝣱	¿computer
𝠀񀀡񁳛񆊡񇀡𝠃𝤠𝤰񁳛𝣬𝣣񀀡𝤄𝣱񇀡𝤃𝤒񆊡𝤎𝣜	¿appear
𝠀񀀡񂈇񆿁񆇡𝠃𝤜𝤤񂈇𝣱𝤒񀀡𝤄𝣸񆇡𝤒𝤙񆿁𝤊𝣨	¿missile
𝠀񀀡񀀩񈙂񈙒𝠃𝤥𝤦񀀡𝤖𝤈񀀩𝣰𝤈񈙂𝤂𝣧񈙒𝣨𝣫	¿go left
𝠀񀀡񀀩񈟁񈟑񋸡𝠃𝤤𝤤񀀡𝤉𝣿񀀩𝣱𝤆񈟁𝤉𝣯񈟑𝣨𝣵񋸡𝣻𝣩	¿go
𝠀񀀡񀀩񋵡񋵡񈀈񈀂񈀈𝠃𝤗𝤽񀀡𝤈𝤘񀀩𝣵𝤘񋵡𝣷𝤸񋵡𝤊𝤸񈀈𝤀𝣿񈀂𝣺𝣦񈀈𝤁𝣏	¿walkup a hill together
𝠀񀀡񁳛񆊡񇀥𝠃𝤢𝤮񁳛𝣪𝣟񀀡𝤁𝣮񆊡𝤐𝣧񇀥𝤁𝤐	¿disappear
𝠀񀀡񂋪񇀥񇀧𝠃𝤨𝤞񂋪𝣤𝣯񀀡𝣶𝤀񇀥𝤎𝣹񇀧𝤊𝣻	¿edit
𝠀񀀡񂋹񆕁񆿁𝠃𝤜𝤨񂋹𝣱𝣮񀀡𝤍𝤊񆕁𝤇𝣹񆿁𝤇𝣤	¿tall
𝠀񀀡񈙁𝠃𝤎𝤣񀀡𝣿𝤅񈙁𝣾𝣪	¿person walking forward
𝠀񀀡񇀡𝠃𝤒𝤢񀀡𝣻𝤄񇀡𝤂𝣪	¿up
𝠀񀀡񈙈𝠃𝤘𝤛񀀡𝣴𝣽񈙈𝤂𝣱	¿go right
𝠀񀀡񆿅񃁒񂇹񆇡񈗡񆇡𝠃𝤣𝤭񆇡𝣹𝤔񂇹𝤆𝤒񆇡𝣹𝤢񃁒𝤊𝤔񈗡𝣪𝤘񀀡𝤑𝣠񆿅𝤒𝤂	¿1000000
𝠀񀀡񆿅񃁒񂇹񆇡񈗡񆇡𝠃𝤣𝤭񆇡𝣹𝤔񂇹𝤆𝤒񆇡𝣹𝤢񃁒𝤊𝤔񈗡𝣪𝤘񀀡𝤑𝣠񆿅𝤒𝤂	¿onemillion
𝠀񀀡񆿅񃁒񂇹񆇡񈗡񆇡𝠃𝤣𝤭񆇡𝣹𝤔񂇹𝤆𝤒񆇡𝣹𝤢񃁒𝤊𝤔񈗡𝣪𝤘񀀡𝤑𝣠񆿅𝤒𝤂	¿one-million
𝠀񀀡񇧫𝠃𝤘𝤗񀀡𝣴𝣹񇧫𝣹𝣵	¿z
𝠀񀀡񈚧񈚣𝠃𝤝𝤥񀀡𝣻𝣧񈚧𝣳𝤆񈚣𝣯𝤕	¿wander
𝠀񀀡񈝨𝠃𝤓𝤚񀀡𝣺𝣼񈝨𝤀𝣳	¿go one handed
𝠀񀀡񆿁񌱡𝠃𝤧𝤘񌱡𝣴𝣵񀀡𝤘𝣖񆿁𝤚𝣁	¿he above
𝠀񀀡񆿅񄵡𝠃𝤑𝤯񀀡𝣻𝣝񄵡𝣻𝤑񆿅𝣽𝣿	¿1/9
𝠀񀀡񆿅񄵡𝠃𝤑𝤯񀀡𝣻𝣝񄵡𝣻𝤑񆿅𝣽𝣿	¿one ninth
𝠀񀀡񆿅񄵡𝠃𝤑𝤯񀀡𝣻𝣝񄵡𝣻𝤑񆿅𝣽𝣿	¿one-ninth
𝠀񀀡񈗡񋵡񋲡𝠃𝤎𝤤񀀡𝣿𝤆񋲡𝤂𝣩񋵡𝤂𝣳񈗡𝤀𝣻	¿just a minute
𝠀񀀡񆿅񀁑񂇹񆉃񍝁𝠃𝤘𝥚񍝁𝣴𝣵񆉃𝣣𝥂񆿅𝤄𝤰񂇹𝣰𝤽񀁑𝤀𝤺񀀡𝤄𝤌	¿fallinlove
𝠀񀀡񆿅񅰡𝠃𝤏𝤭񀀡𝣾𝣠񅰡𝤀𝤕񆿅𝤀𝤃	¿1/10
𝠀񀀡񆿅񅰡𝠃𝤏𝤭񀀡𝣾𝣠񅰡𝤀𝤕񆿅𝤀𝤃	¿one tenth
𝠀񀀡񆿅񅰡𝠃𝤏𝤭񀀡𝣾𝣠񅰡𝤀𝤕񆿅𝤀𝤃	¿one-tenth
𝠀񀀡񈗥񆡁񆇡񌒁𝠃𝤘𝤘񌒁𝣴𝣵񀀡𝣟𝣇񈗥𝣲𝣔񆡁𝣵𝣧񆇡𝤁𝣵	¿puzzled
𝠀񀀡񋎥񀀁𝠃𝤡𝤖񀀁𝤒𝣸񀀡𝣫𝣸񋎥𝣻𝣷	¿first
𝠀񀀡񋎥񀀁𝠃𝤡𝤖񀀁𝤒𝣸񀀡𝣫𝣸񋎥𝣻𝣷	¿1st
𝠀񀀢񀀪񆐡񁲃񁲋񈘁񈘁񆄩񆄡񎣡𝠃𝤣𝥊񈘁𝤍𝤕񁲃𝤄𝤪񆐡𝣾𝣃񁲋𝣣𝤪񈘁𝣭𝤘񆄩𝣪𝤁񆄡𝤍𝤀񀀢𝤀𝣗񀀪𝣬𝣖񎣡𝣱𝥆	¿incurable
𝠀񀀢񀀪񈗧񈗳񈗧񈗳񋸡񋲱𝠃𝤟𝤫񀀢𝤁𝤖񀀪𝣰𝤖񈗧𝤍𝤅񈗳𝣮𝤅񋸡𝣾𝣯񋲱𝣿𝣢񈗧𝤍𝣵񈗳𝣭𝣵	¿different
𝠀񀀢񆇡񉌋񋲡񌀈𝠃𝥃𝤘񌀈𝣴𝣵񀀢𝤕𝣷񆇡𝤋𝣨񉌋𝤧𝣩񋲡𝤷𝣠	¿Smart
𝠀񀀡񈩧𝠃𝤘𝤟񀀡𝣴𝣮񈩧𝤉𝣷	¿where
𝠀񀀡񋔯𝠃𝤖𝤞񀀡𝣶𝤀񋔯𝣻𝣮	¿wheel
𝠀񀀢񀀪񆕁񈦧񈦳񇁅񌒁񌿑𝠃𝤟𝥭񈦳𝣲𝤿񌒁𝣴𝣵񀀢𝤁𝤧񀀪𝣯𝤧񈦧𝤐𝥀񌿑𝣴𝣵񇁅𝤀𝥏񆕁𝤂𝥀	¿different!
𝠀񀀢񀀪񈗧񈗳񈛇񈗧񈗳񋸡񋸡𝠃𝤹𝤤񋸡𝣢𝣩񋸡𝤙𝣪񈗧𝣰𝣶񈗧𝤤𝣵񈗳𝤋𝣵񈗳𝣔𝣶񈛇𝤏𝤒񀀢𝣣𝤏񀀪𝣓𝤏	¿different
𝠀񀀢񆇡񌒁񁸢񁸊񉆊񉳙񌒁𝠃𝥃𝥰񌒁𝣴𝣎񀀢𝤓𝣐񆇡𝤍𝣃񁸢𝤔𝤽񁸊𝣗𝥕񉆊𝤭𝤭񉳙𝣳𝥋񌒁𝣵𝤜	¿confused
𝠀񀀡񈩧𝠃𝤘𝤟񀀡𝣴𝣮񈩧𝤉𝣷	¿where
𝠀񀀡񋣪𝠃𝤒𝤜񋣪𝣿𝣱񀀡𝣻𝣾	¿only
𝠀񀀢񀀪񇁅񈦧񈦳񋸥𝠃𝤥𝤬񀀢𝤂𝣡񀀪𝣯𝣠񇁅𝣽𝣿񈦧𝤗𝣼񈦳𝣧𝣼񋸥𝣾𝤦	¿different
𝠀񀀢񀀪񈗧񈗳񋸡𝠃𝤟𝤚񀀢𝤁𝤅񀀪𝣮𝤅񈗧𝤆𝣶񋸡𝣻𝣲񈗳𝣱𝣷	¿different
𝠀񀀢񇩄񋲡񌱨𝠃𝥔𝤘񀀢𝤶𝣘񇩄𝤜𝣞񋲡𝤡𝤆񌱨𝣴𝣵	¿lightning
𝠀񀀡񈩧񌄡񌒁𝠃𝤷𝥇񀀡𝤕𝤝񈩧𝤨𝤟񌒁𝣴𝣺񌄡𝣴𝣯	¿where
𝠀񀀡񋣪𝠃𝤔𝤝񀀡𝣹𝣿񋣪𝤁𝣯	¿merely
𝠀񀀢񀀪񇩄񇩜񋲡񋲱񋻥𝠃𝤲𝤭񀀢𝤔𝣠񇩜𝣢𝣽񋲡𝤍𝤗񀀪𝣚𝣬񇩄𝤆𝣭񋲱𝣲𝤦񋻥𝤄𝤥	¿lightning
𝠀񀀢񀀪񈗧񈗳񋸡񋲱𝠃𝤟𝤢񀀢𝤁𝤍񀀪𝣰𝤍񈗧𝤍𝣼񈗳𝣮𝣼񋸡𝣾𝣶񋲱𝣿𝣫	¿different
𝠀񀀣񀕹񆇡񆇡𝠃𝤝𝤠񀕹𝣰𝤂񆇡𝤀𝣭񀀣𝣿𝣷񆇡𝣸𝣵	¿this one
𝠀񀀡񉍰񉍸񆇡񋸥𝠃𝤠𝤭񀀉𝣾𝣟񀀡𝤂𝣦񆇡𝤏𝣨񉍰𝤇𝤈񉍸𝣬𝤈񋸥𝣿𝤧	¿meet
𝠀񀀢񀀉񉍧񅰡𝠃𝤬𝤛񀀉𝣠𝣱񀀢𝣫𝣶񉍧𝤀𝤌񅰡𝤝𝣲	¿one to ten
𝠀񀀢񀀪񇯅񇯕񋻥񋵡񋵡𝠃𝤸𝤶񀀢𝤌𝣗񋵡𝤡𝣰񇯅𝤣𝣾񀀪𝣜𝣡񋵡𝣧𝤀񋻥𝣾𝣸񇯕𝣔𝤇	¿lightning
𝠀񀀢񀀪񉍫񉍳𝠃𝤥𝤛񀀢𝤂𝤆񀀪𝣮𝤆񉍳𝣧𝣱񉍫𝤈𝣱	¿but
𝠀񀀣񀕹񆉁𝠃𝤠𝤞񀕹𝣿𝤀񆉁𝣬𝣰񀀣𝤂𝣯	¿this one
𝠀񀀡񉮡𝠃𝤓𝤢񀀡𝣺𝤄񉮡𝤀𝣪	¿question
𝠀񀀢񀀊񆇡񊔁𝠃𝤦𝤥񀀢𝣽𝣶񀀊𝣧𝣶񆇡𝣷𝣨񊔁𝤏𝤋	¿to
𝠀񀀢񀀪񈗣񈗷񋸡񈗣񈗷񋸡񈗣񈗷񋸡𝠃𝤿𝤳񈗣𝣍𝣤񈗣𝤐𝣤񈗣𝣮𝤂񈗷𝣭𝣤񈗷𝤋𝤂񈗷𝤰𝣤񋸡𝤀𝣺񋸡𝣟𝣚񋸡𝤡𝣛񀀢𝣿𝤞񀀪𝣱𝤝	¿different
𝠀񀀢񀕉񆉁𝠃𝤝𝤛񀕉𝣯𝣽񆉁𝣹𝣲񀀢𝣿𝤂	¿this one
𝠀񀀣񁲙񆊡񊤡𝠃𝤪𝤠񁲙𝣩𝤁񀀣𝣱𝣻񆊡𝣢𝣬񊤡𝤐𝣵	¿start
𝠀񀀡񋁏𝠃𝤞𝤕񀀡𝤏𝣷񋁏𝣮𝣽	¿move body
𝠀񀀢񀀪񀀢񀀪񀀢񀀪񈗧񈗧񈗧񈗳񈗳񈗳񋁩񋸡񋸡񋸡𝠃𝥎𝤷񀀪𝣭𝣰񀀢𝤰𝤢񀀢𝣼𝣰񀀢𝣍𝤢񀀪𝤢𝤢񀀪𝢾𝤢񈗧𝤼𝤒񈗧𝤅𝣟񈗧𝣘𝤑񈗳𝤠𝤒񈗳𝣱𝣟񈗳𝣁𝤐񋁩𝣷𝤘񋸡𝤰𝤋񋸡𝣼𝣕񋸡𝣏𝤆	¿different
𝠀񀀢񀀪񈗧񈗳𝠃𝤠𝤛񀀢𝤂𝤆񀀪𝣭𝤆񈗧𝤍𝣲񈗳𝣭𝣲	¿but2
𝠀񀀢񀕊񆉁𝠃𝤡𝤜񀕊𝣬𝣾񆉁𝣿𝣰񀀢𝤃𝣾	¿this one
𝠀񀀨񀀪񇀤񇀴񋸥񌧁񍦁𝠃𝤯𝥓񋸥𝣮𝥊񀀨𝤚𝤠񀀪𝣳𝤢񇀤𝤄𝤻񇀴𝣞𝤳񍦁𝣴𝣵񌧁𝣴𝣵	¿come to
𝠀񀀡񋎡񋲡𝠃𝤖𝤥񀀡𝤇𝤇񋎡𝣶𝣳񋲡𝣻𝣧	¿one dollar
𝠀񀀢񀀪񆇡񋁋񋁓񆇡𝠃𝤭𝤩񀀢𝤍𝣩񀀪𝣠𝣬񋁋𝤖𝤉񋁓𝣟𝤋񆇡𝤁𝣣񆇡𝤂𝤞	¿circle
𝠀񀀢񀀪񈗧񈗳𝠃𝤵𝤑񀀢𝤁𝣼񀀪𝣭𝣼񈗧𝤦𝤀񈗳𝣗𝤀	¿different
𝠀񀀢񂋩񆇡񈙥𝠃𝤜𝤪񂋩𝣱𝣣񀀢𝣾𝣸񆇡𝣹𝤁񈙥𝣽𝤌	¿you show me
𝠀񀀢񂋩񆇡񈙥𝠃𝤜𝤪񂋩𝣱𝣣񀀢𝣾𝣸񆇡𝣹𝤁񈙥𝣽𝤌	¿you showed me
𝠀񀀨񀀪񇀤񇀴񋸥񍘡𝠃𝤹𝥐񍘡𝣴𝣵񀀨𝤤𝤝񀀪𝣽𝤟񇀤𝤎𝤸񇀴𝣨𝤰񋸥𝣸𝥇	¿come
𝠀񀀩񀀁񋎩񋎽񆙡񌱤𝠃𝤘𝥛񆙡𝣄𝤴񀀁𝣟𝤪񀀩𝣙𝤯񋎽𝢿𝥆񋎩𝣀𝤛񌱤𝣴𝣵	¿translate
𝠀񀀰񂋩񆇡񆇡񆿁𝠃𝤟𝤟񂋩𝣭𝣯񀀰𝣹𝤁񆇡𝤅𝣮񆇡𝤅𝣾񆿁𝤒𝣳	¿frequently
𝠀񀀴񉳍񆇡񀀢񋾡𝠃𝥆𝤘񀀢𝤨𝣝񀀴𝤐𝣨񉳍𝤪𝣷񋾡𝣴𝣵񆇡𝤚𝣹	¿government
𝠀񀁁񂇙񆕁񈗡񈗣񀁅񆕁񈗥𝠃𝤡𝤮񂇙𝣽𝣫񀁁𝤒𝣿񆕁𝤍𝣾񀁅𝣬𝤐񈗥𝣫𝣼񆕁𝣫𝣭񈗡𝤌𝣪񈗣𝣷𝣞	¿sneak
𝠀񀁁񂇙񆕁񈗡񈗣񀁅񆕁񈗥𝠃𝤡𝤮񂇙𝣽𝣫񀁁𝤒𝣿񆕁𝤍𝣾񀁅𝣬𝤐񈗥𝣫𝣼񆕁𝣫𝣭񈗡𝤌𝣪񈗣𝣷𝣞	¿adultery
𝠀񀁁񈗡𝠃𝤎𝤢񀁁𝣿𝤄񈗡𝤀𝣪	¿there straight ahead
𝠀񀀩񀀡񈙨𝠃𝤢𝤡񀀡𝣾𝤃񀀩𝣫𝤃񈙨𝤌𝣫	¿go together right
𝠀񀀱񀀹񈝥񈝵𝠃𝤡𝤨񀀱𝤑𝣤񀀹𝣬𝣱񈝥𝤑𝤉񈝵𝣬𝤖	¿come here
𝠀񀀺񅊡񈗨񅮡𝠃𝤰𝤣񀀺𝣜𝤅񅊡𝣭𝣸񅮡𝤓𝣪񈗨𝤌𝣷	¿zoom
𝠀񀁁񂈗񆕁񈽁񆞅𝠃𝤝𝤬񈽁𝤄𝣠񀁁𝣼𝤉񆕁𝤅𝣻񂈗𝣯𝤠񆞅𝤎𝤚	¿adventure
𝠀񀁁񈗡𝠃𝤐𝤝񀁁𝤁𝣿񈗡𝣽𝣰	¿you in front
𝠀񀀩񁡈񈟄񆕁𝠃𝤦𝤢񀀩𝣶𝤄񈟄𝣧𝣱񆕁𝣸𝣪񁡈𝤎𝤂	¿priority
𝠀񀀱񀀹񉳁񉳙𝠃𝤢𝤣񀀱𝤏𝤅񀀹𝣯𝤅񉳁𝤋𝣪񉳙𝣫𝣪	¿happen
𝠀񀁁񀀋񆇡񆇡𝠃𝤜𝤖񀀋𝣰𝣿񀁁𝣻𝣸񆇡𝤒𝣷񆇡𝤒𝤃	¿junction
𝠀񀁁񂋻񆕁񈚡񆞕𝠃𝤔𝤺񂋻𝣹𝣢񀁁𝣿𝤐񈚡𝣿𝣓񆕁𝤃𝣿񆞕𝣿𝤲	¿kill
𝠀񀁁񈗡𝠃𝤏𝤝񀁁𝤀𝣿񈗡𝣾𝣯	¿you
